Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,text_length
723,727,Winning a friendly sports competition against rival schools. Victory celebrations in full swing! ,0,10/20/2023 14:15, SportsVictoryHighSchool , Twitter , #SportsTriumph #HighSchoolAthletics ,26,50, USA,2023,10,20,14,97
716,720,Volunteering at a local charity event to give back to the community. Contributing to social causes. ,1,10/13/2023 12:30, CharityEventVolunteerHighSchool , Instagram , #CommunityService #HighSchoolVolunteer ,20,39, UK,2023,10,13,12,100
654,658,"Joined the drama club to unleash my inner actor. Lights, camera, action! ",0,8/12/2023 13:45, DramaClubStarHighSchool , Facebook , #DramaClubStar #HighSchoolActor ,25,50, USA,2023,8,12,13,73
7,7, The new movie release is a must-watch!             ,0,1/16/2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19,52
275,279," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",0,5/6/2023 7:20, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15,30, India ,2023,5,6,7,125
595,599,Spent hours creating the perfect playlist for every mood. Music is my therapy. #PlaylistMaker #TeenMusicLover ,0,6/3/2023 21:15, MusicAficionado , Facebook , #MusicTherapy #TeenPlaylist ,22,45, Canada,2023,6,3,21,110
619,623,"Rediscovered the joy of cooking traditional family recipes. The kitchen, a place of cherished memories. #FamilyRecipes #SeniorCooking ",0,6/27/2023 17:45, FamilyChefSenior , Twitter , #KitchenMemories #SeniorCulinary ,20,40, USA,2023,6,27,17,134
552,556,"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ",2,7/10/2018 21:15, TennisEnthusiastUnexpectedSetback , Instagram , #Frustration #TennisSetback ,35,70, USA ,2018,7,10,21,146
299,303," Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",2,7/20/2017 11:45, DesertWanderer , Twitter , #Loneliness #MiragesOfConnection ,15,30, USA ,2017,7,20,11,127
603,607,Relishing a peaceful afternoon with a classic novel. Quiet moments are the best moments. #BookLover #PeacefulAfternoon ,0,6/11/2023 15:30, NovelEnthusiast , Instagram , #QuietMoments #BookishEscape ,35,70, USA,2023,6,11,15,119
692,696,Experiencing cyberbullying. Hateful messages online are disheartening. ,2,9/19/2023 15:15, CyberbullyingVictimHighSchool , Facebook , #StopCyberbullying #HighSchoolReality ,14,27, UK,2023,9,19,15,71
633,637,Hosted a photography exhibition featuring snapshots of a life well-lived. Every photo has a story to tell. #PhotographyExhibition #SeniorPhotographer ,0,7/11/2023 18:45, SeniorPhotographerExhibitor , Twitter , #LifeInPictures #SeniorExhibition ,22,45, Canada,2023,7,11,18,150
40,41, Excited about the upcoming gaming tournament.      ,0,1/28/2023 9:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9,52
20,20, Sipping coffee and enjoying a good book.           ,0,1/21/2023 8:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8,52
44,45, A cozy evening with a good movie.                 ,0,1/29/2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20,51
37,38, Attending a live music concert tonight.            ,0,1/27/2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20,52
51,52, Starting a new fitness challenge tomorrow! ðŸ’ª     ,0,2/1/2023 8:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8,50
728,732,Collaborating on a science project that received recognition at a regional fair. Science triumphs and smiles! ,0,8/18/2017 18:20, ScienceProjectSuccessHighSchool , Facebook , #ScienceFairWinner #HighSchoolScience ,20,39, UK,2017,8,18,18,110
597,601,Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape ,0,6/5/2023 10:00, AdventureSeeker , Instagram , #GetawayGoals #TeenTravel ,18,35, UK,2023,6,5,10,84
474,478,"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. ",0,10/28/2019 14:15, DreamChaser , Instagram , #Enthusiasm #HopefulJourney ,30,60, Australia ,2019,10,28,14,79
635,639,"Attended a wine tasting event, savoring the richness of flavors that age like fine wine. Cheers to the golden years! #WineTasting #SeniorWineLover ",0,7/13/2023 20:00, SeniorWineConnoisseur , Instagram , #AgedToPerfection #SeniorCheers ,35,70, UK,2023,7,13,20,147
258,262," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",0,10/5/2023 7:30, SunriseNavigator , Facebook , #Hopeful #SunriseOfPossibilities ,12,24, USA ,2023,10,5,7,123
478,482,"Overflowing with joy, a cup of laughter shared with friends, a moment cherished. ",0,3/10/2023 14:30, LaughterCup , Twitter , #Joy #CherishedMoment ,20,40, Japan ,2023,3,10,14,81
611,615,"Embarked on a road trip to revisit cherished places from the past. Nostalgia, the ultimate travel companion. #RoadTrip #NostalgiaTour ",0,6/19/2023 16:30, RoadTripSenior , Facebook , #CherishedPlaces #SeniorTravel ,22,45, Canada,2023,6,19,16,134
676,680,Attempting to impress the teacher with an elaborate science experiment. Science geek mode: Activated! ,0,9/3/2023 22:00, ScienceExperimentProHighSchool , Twitter , #ScienceGeek #HighSchoolExperiments ,23,44, UK,2023,9,3,22,102
443,447,"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ",2,12/5/2018 21:45, JoyLabyrinth , Facebook , #Grief #LostJoyFootsteps ,18,35, USA ,2018,12,5,21,74
50,51, Feeling optimistic about the week ahead.           ,0,1/31/2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16,52
529,533,"In the crowd of an Ariana Grande concert, the high notes of 'Into You' create a euphoric symphony. ",0,1/22/2023 20:00, ArianaEuphoriaChaser , Facebook , #Euphoria #ArianaGrande ,35,70, USA ,2023,1,22,20,99
712,716,Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities. ,1,10/9/2023 22:00, SchoolAssemblyParticipationHighSchool , Twitter , #SchoolEvents #HighSchoolConnectivity ,20,40, Canada,2023,10,9,22,128
445,449,"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",2,10/22/2019 17:00, PalateStainer , Instagram , #Bitterness #StainedTrust ,15,30, Germany ,2019,10,22,17,80
615,619,"Sipping on a favorite vintage wine, each sip telling a story of the years gone by. Cheers to a life well-lived. #WineLover #VintageCheers ",0,6/23/2023 18:45, WineConnoisseur , Instagram , #LifeWellLived #SeniorWine ,28,55, UK,2023,6,23,18,138
35,36, Winter sports day at the local park.               ,0,1/26/2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14,52
724,728,Receiving a heartfelt letter from a pen pal in another country. Connecting across the globe! ,0,10/21/2023 17:30, PenPalConnectionHighSchool , Facebook , #GlobalFriendship #HighSchoolCorrespondence ,23,45, Canada,2023,10,21,17,93
701,705,Feeling a sense of despair after a major project failure. Hard work didn't pay off this time. ,2,9/28/2023 22:00, ProjectFailureDespairHighSchool , Facebook , #ProjectStruggles #HighSchoolHardships ,21,41, UK,2023,9,28,22,94
657,661,Attempting to break the school record for the longest handstand. Wish me luck! ,0,8/15/2023 19:30, HandstandChallengeHighSchool , Facebook , #HandstandChallenge #HighSchoolAthlete ,28,55, Canada,2023,8,15,19,79
674,678,Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making! ,0,9/1/2023 14:45, ComedyGeniusHighSchool , Instagram , #StandUpComedy #HighSchoolTalent ,21,39, Canada,2023,9,1,14,94
0,0, Enjoying a beautiful day at the park!              ,0,1/15/2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12,52
3,3, Excited about the upcoming weekend getaway!        ,0,1/15/2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18,52
444,448,"A soul adrift in the sea of solitude, waves of loneliness crashing relentlessly. ",2,6/28/2016 14:20, SolitudeSeas , Twitter , #Loneliness #CrashingWaves ,22,45, UK ,2016,6,28,14,81
179,181," Loneliness in a crowded room, a silent cry for connection.",2,7/12/2019 18:10, IsolatedMind     , Twitter  , #Loneliness #SeekingConnection              ,15,30, UK            ,2019,7,12,18,59
493,497,"Exploring the wonders of Ferrari World, the roar of engines creating a symphony of speed. ",0,11/10/2019 14:00, FerrariSpeedster , Facebook , #Excitement #SymphonyOfSpeed ,22,45, Italy ,2019,11,10,14,90
608,612,"Attended a classical music concert, feeling the timeless melodies resonate. Music transcends generations. #ClassicalMusic #TimelessMelodies ",0,6/16/2023 21:45, MusicConnoisseur , Facebook , #MusicLover #SeniorConcert ,18,35, Canada,2023,6,16,21,140
